ds;y;Keys
21-2019;196.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97215-80004517-DCP Roastbeef. 4 x 1200-1800g.???
22-2019;492.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97215-80005258-DCP ?ler?get skinke 6x2/250g duopak..?
23-2019;588.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97215-80007710-DCP Kalkunbryst kogt. r?get 2xca. 1.5 kg??
24-2019;145.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97217-80004275-DCP Roastbeef 6x2/250g duopak..???
25-2019;425.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97218-70151305-DCP Rullep?lse 4 x 1200-1600g..??
26-2019;280.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97218-70700688-DCP Kyllingebryst 4xca.0.9 kg.???
27-2019;380.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97218-80001642-DCP Skinke rund.kgt.rg. 1/2 4x2000-2400g???
28-2019;246.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97218-80002528-DCP Kalkunbryst  paprika 2 x ca. 1.5 kg.???
29-2019;235.2;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97218-80002531-DCP Kalkunbryst Carry 2xca. 1.5 kg.???
30-2019;352.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97218-80002820-DCP PMM Kalkunbryst paprika 6x500g..???
31-2019;453.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97218-80004251-DCP Hamburgerryg 6x2/250g duopak..???
32-2019;313.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97218-80004252-DCP Hamburgerryg 3% 6x2/250g duopak..???
33-2019;201.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97218-80004254-DCP Kalkunbryst 6x2/250g duopak..???
34-2019;302.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97218-80004255-DCP Kamsteg 6x2/250g duopak..???
35-2019;156.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97218-80004256-DCP Kyllingebryst 6x2/250g duopak..???
36-2019;285.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97218-80004257-DCP Rullep?lse 6x2/250g duopak..??
37-2019;358.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97218-80004259-DCP R?get filet 6x2/250g duopak..??
38-2019;268.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97218-80004260-DCP Saltk?d 6x2/250g duopak..??
39-2019;313.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97218-80004262-DCP Skinke 6x500g..???
40-2019;168.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97218-80004263-DCP Skinke 6x2/250g duopak..???
41-2019;330.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97218-80004264-DCP Skinke Firkantet 6x2/250g duopak..???
42-2019;369.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97218-80004275-DCP Roastbeef 6x2/250g duopak..???
43-2019;235.2;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97218-80004517-DCP Roastbeef. 4 x 1200-1800g.???
44-2019;414.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97218-80005258-DCP ?ler?get skinke 6x2/250g duopak..?
45-2019;324.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97218-80007710-DCP Kalkunbryst kogt. r?get 2xca. 1.5 kg??
46-2019;252.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97221-80004251-DCP Hamburgerryg 6x2/250g duopak..???
47-2019;280.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97221-80004257-DCP Rullep?lse 6x2/250g duopak..??
48-2019;196.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97221-80004262-DCP Skinke 6x500g..???
49-2019;442.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97221-80004275-DCP Roastbeef 6x2/250g duopak..???
50-2019;201.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97221-80005258-DCP ?ler?get skinke 6x2/250g duopak..?
51-2019;263.2;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97226-80004251-DCP Hamburgerryg 6x2/250g duopak..???
52-2019;128.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97226-80004254-DCP Kalkunbryst 6x2/250g duopak..???
01-2020;100.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97226-80004257-DCP Rullep?lse 6x2/250g duopak..??
02-2020;179.2;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97226-80004264-DCP Skinke Firkantet 6x2/250g duopak..???
03-2020;95.2;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97226-80004275-DCP Roastbeef 6x2/250g duopak..???
04-2020;117.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97227-80004251-DCP Hamburgerryg 6x2/250g duopak..???
05-2020;140.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97227-80004257-DCP Rullep?lse 6x2/250g duopak..??
06-2020;168.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97227-80005258-DCP ?ler?get skinke 6x2/250g duopak..?
07-2020;84.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;206291-80002820-DCP PMM Kalkunbryst paprika 6x500g..???
08-2020;123.2;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;206291-80004262-DCP Skinke 6x500g..???
09-2020;151.2;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;206291-80004275-DCP Roastbeef 6x2/250g duopak..???
10-2020;184.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
11-2020;123.2;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;39.6;97205-70700688-DCP Kyllingebryst 4xca.0.9 kg.???
12-2020;5.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;35.2;97205-80001642-DCP Skinke rund.kgt.rg. 1/2 4x2000-2400g???
13-2020;106.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;464.0;97205-80002528-DCP Kalkunbryst  paprika 2 x ca. 1.5 kg.???
14-2020;128.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;60.0;97205-80002531-DCP Kalkunbryst Carry 2xca. 1.5 kg.???
15-2020;134.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;159.0;97205-80002820-DCP PMM Kalkunbryst paprika 6x500g..???
16-2020;145.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;165.0;97205-80004251-DCP Hamburgerryg 6x2/250g duopak..???
17-2020;44.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;36.0;97205-80004252-DCP Hamburgerryg 3% 6x2/250g duopak..???
18-2020;44.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;147.0;97205-80004254-DCP Kalkunbryst 6x2/250g duopak..???
19-2020;117.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;75.0;97205-80004255-DCP Kamsteg 6x2/250g duopak..???
20-2020;151.2;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;177.0;97205-80004256-DCP Kyllingebryst 6x2/250g duopak..???
21-2020;112.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;285.0;97205-80004257-DCP Rullep?lse 6x2/250g duopak..??
22-2020;89.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;39.0;97205-80004259-DCP R?get filet 6x2/250g duopak..??
23-2020;117.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;159.0;97205-80004260-DCP Saltk?d 6x2/250g duopak..??
24-2020;145.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;348.0;97205-80004262-DCP Skinke 6x500g..???
25-2020;140.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;9.0;97205-80004263-DCP Skinke 6x2/250g duopak..???
26-2020;196.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;156.0;97205-80004264-DCP Skinke Firkantet 6x2/250g duopak..???
27-2020;100.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;288.0;97205-80004275-DCP Roastbeef 6x2/250g duopak..???
28-2020;100.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;168.0;97205-80004517-DCP Roastbeef. 4 x 1200-1800g.???
29-2020;190.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;12.0;97205-80005258-DCP ?ler?get skinke 6x2/250g duopak..?
30-2020;140.0;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;0.0;97205-80007710-DCP Kalkunbryst kogt. r?get 2xca. 1.5 kg??
31-2020;145.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;330.4;97209-70151305-DCP Rullep?lse 4 x 1200-1600g..??
32-2020;268.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;43.2;97209-70700688-DCP Kyllingebryst 4xca.0.9 kg.???
33-2020;145.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;96.8;97209-80001642-DCP Skinke rund.kgt.rg. 1/2 4x2000-2400g???
34-2020;162.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
02-2018;532.0;97209-80002528-DCP Kalkunbryst  paprika 2 x ca. 1.5 kg.???
35-2020;156.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
